"","County","State","Population"
"77","Hoonah-Angoon Census Area","Alaska",2148
"78","Juneau City and Borough","Alaska",31974
"79","Kenai Peninsula Borough","Alaska",58708
"80","Ketchikan Gateway Borough","Alaska",13901
"81","Kodiak Island Borough","Alaska",12998
"82","Kusilvak Census Area","Alaska",8314
"83","Lake and Peninsula Borough","Alaska",1592
"84","Matanuska-Susitna Borough","Alaska",108317
"85","Nome Census Area","Alaska",10004
"86","North Slope Borough","Alaska",9832
"87","Northwest Arctic Borough","Alaska",7621
"88","Petersburg Borough","Alaska",3266
"89","Prince of Wales-Hyder Census Area","Alaska",6203
"90","Sitka City and Borough","Alaska",8493
"91","Skagway Municipality","Alaska",1183
"92","Southeast Fairbanks Census Area","Alaska",6893
"93","Valdez-Cordova Census Area","Alaska",9202
"94","Wrangell City and Borough","Alaska",2502
"95","Yakutat City and Borough","Alaska",579
"96","Yukon-Koyukuk Census Area","Alaska",5230
"97","Apache County","Arizona",71887
"98","Cochise County","Arizona",125922
"99","Coconino County","Arizona",143476
"100","Gila County","Arizona",54018
"101","Graham County","Arizona",38837
"102","Greenlee County","Arizona",9498
"103","La Paz County","Arizona",21108
"104","Maricopa County","Arizona",4485414
"105","Mohave County","Arizona",212181
"106","Navajo County","Arizona",110924
"107","Pima County","Arizona",1047279
"108","Pinal County","Arizona",462789
"109","Santa Cruz County","Arizona",46498
"110","Yavapai County","Arizona",235099
"111","Yuma County","Arizona",213787
"112","Arkansas County","Arkansas",17486
"113","Ashley County","Arkansas",19657
"114","Baxter County","Arkansas",41932
"115","Benton County","Arkansas",279141
"116","Boone County","Arkansas",37432
"117","Bradley County","Arkansas",10763
"118","Calhoun County","Arkansas",5189
"119","Carroll County","Arkansas",28380
"120","Chicot County","Arkansas",10118
"121","Clark County","Arkansas",22320
"122","Clay County","Arkansas",14551
"123","Cleburne County","Arkansas",24919
"124","Cleveland County","Arkansas",7956
"125","Columbia County","Arkansas",23457
"126","Conway County","Arkansas",20846
"127","Craighead County","Arkansas",110332
"128","Crawford County","Arkansas",63257
"129","Crittenden County","Arkansas",47955
"130","Cross County","Arkansas",16419
"131","Dallas County","Arkansas",7009
"132","Desha County","Arkansas",11361
"133","Drew County","Arkansas",18219
"134","Faulkner County","Arkansas",126007
"135","Franklin County","Arkansas",17715
"136","Fulton County","Arkansas",12477
"137","Garland County","Arkansas",99386
"138","Grant County","Arkansas",18265
"139","Greene County","Arkansas",45325
"140","Hempstead County","Arkansas",21532
"141","Hot Spring County","Arkansas",33771
"142","Howard County","Arkansas",13202
"143","Independence County","Arkansas",37825
"144","Izard County","Arkansas",13629
"145","Jackson County","Arkansas",16719
"146","Jefferson County","Arkansas",66824
"147","Johnson County","Arkansas",26578
"148","Lafayette County","Arkansas",6624
"149","Lawrence County","Arkansas",16406
"150","Lee County","Arkansas",8857
"151","Lincoln County","Arkansas",13024
"152","Little River County","Arkansas",12259
"153","Logan County","Arkansas",21466
"154","Lonoke County","Arkansas",73309
"155","Madison County","Arkansas",16576
"156","Marion County","Arkansas",16694
"157","Miller County","Arkansas",43257
"158","Mississippi County","Arkansas",40651
"159","Monroe County","Arkansas",6701
"160","Montgomery County","Arkansas",8986
"161","Nevada County","Arkansas",8252
"162","Newton County","Arkansas",7753
"163","Ouachita County","Arkansas",23382
"164","Perry County","Arkansas",10455
"165","Phillips County","Arkansas",17782
"166","Pike County","Arkansas",10718
"167","Poinsett County","Arkansas",23528
"168","Polk County","Arkansas",19964
"169","Pope County","Arkansas",64072
"170","Prairie County","Arkansas",8062
"171","Pulaski County","Arkansas",391911
"172","Randolph County","Arkansas",17958
"173","St. Francis County","Arkansas",24994
"174","Saline County","Arkansas",122437
"175","Scott County","Arkansas",10281
"176","Searcy County","Arkansas",7881
"177","Sebastian County","Arkansas",127827
"178","Sevier County","Arkansas",17007
"179","Sharp County","Arkansas",17442
"180","Stone County","Arkansas",12506
"181","Union County","Arkansas",38682
"182","Van Buren County","Arkansas",16545
"183","Washington County","Arkansas",239187
"184","White County","Arkansas",78753
"185","Woodruff County","Arkansas",6320
"186","Yell County","Arkansas",21341
"187","Alameda County","California",1671329
"188","Alpine County","California",1129
"189","Amador County","California",39752
"190","Butte County","California",219186
"191","Calaveras County","California",45905
"192","Colusa County","California",21547
"193","Contra Costa County","California",1153526
"194","Del Norte County","California",27812
"195","El Dorado County","California",192843
"196","Fresno County","California",999101
"197","Glenn County","California",28393
"198","Humboldt County","California",135558
"199","Imperial County","California",181215
"200","Inyo County","California",18039
"201","Kern County","California",900202
"202","Kings County","California",152940
"203","Lake County","California",64386
"204","Lassen County","California",30573
"205","Los Angeles County","California",10039107
"206","Madera County","California",157327
"207","Marin County","California",258826
"208","Mariposa County","California",17203
"209","Mendocino County","California",86749
"210","Merced County","California",277680
"211","Modoc County","California",8841
"212","Mono County","California",14444
"213","Monterey County","California",434061
"214","Napa County","California",137744
"215","Nevada County","California",99755
"216","Orange County","California",3175692
"217","Placer County","California",398329
"218","Plumas County","California",18807
"219","Riverside County","California",2470546
"220","Sacramento County","California",1552058
"221","San Benito County","California",62808
"222","San Bernardino County","California",2180085
"223","San Diego County","California",3338330
"224","San Francisco County","California",881549
"225","San Joaquin County","California",762148
"226","San Luis Obispo County","California",283111
"227","San Mateo County","California",766573
"228","Santa Barbara County","California",446499
"229","Santa Clara County","California",1927852
"230","Santa Cruz County","California",273213
"231","Shasta County","California",180080
"232","Sierra County","California",3005
"233","Siskiyou County","California",43539
"234","Solano County","California",447643
"235","Sonoma County","California",494336
"236","Stanislaus County","California",550660
"237","Sutter County","California",96971
"238","Tehama County","California",65084
"239","Trinity County","California",12285
"240","Tulare County","California",466195
"241","Tuolumne County","California",54478
"242","Ventura County","California",846006
"243","Yolo County","California",220500
"244","Yuba County","California",78668
"245","Adams County","Colorado",517421
"246","Alamosa County","Colorado",16233
"247","Arapahoe County","Colorado",656590
"248","Archuleta County","Colorado",14029
"249","Baca County","Colorado",3581
"250","Bent County","Colorado",5577
"251","Boulder County","Colorado",326196
"252","Broomfield County","Colorado",70465
"253","Chaffee County","Colorado",20356
"254","Cheyenne County","Colorado",1831
"255","Clear Creek County","Colorado",9700
"256","Conejos County","Colorado",8205
"257","Costilla County","Colorado",3887
"258","Crowley County","Colorado",6061
"259","Custer County","Colorado",5068
"260","Delta County","Colorado",31162
"261","Denver County","Colorado",727211
"262","Dolores County","Colorado",2055
"263","Douglas County","Colorado",351154
"264","Eagle County","Colorado",55127
"265","Elbert County","Colorado",26729
"266","El Paso County","Colorado",720403
"267","Fremont County","Colorado",47839
"268","Garfield County","Colorado",60061
"269","Gilpin County","Colorado",6243
"270","Grand County","Colorado",15734
"271","Gunnison County","Colorado",17462
"272","Hinsdale County","Colorado",820
"273","Huerfano County","Colorado",6897
"274","Jackson County","Colorado",1392
"275","Jefferson County","Colorado",582881
"276","Kiowa County","Colorado",1406
"277","Kit Carson County","Colorado",7097
"278","Lake County","Colorado",8127
"279","La Plata County","Colorado",56221
"280","Larimer County","Colorado",356899
"281","Las Animas County","Colorado",14506
"282","Lincoln County","Colorado",5701
"283","Logan County","Colorado",22409
