"","County","State","Population"
"819","Dickinson County","Iowa",17258
"820","Dubuque County","Iowa",97311
"821","Emmet County","Iowa",9208
"822","Fayette County","Iowa",19650
"823","Floyd County","Iowa",15642
"824","Franklin County","Iowa",10070
"825","Fremont County","Iowa",6960
"826","Greene County","Iowa",8888
"827","Grundy County","Iowa",12232
"828","Guthrie County","Iowa",10689
"829","Hamilton County","Iowa",14773
"830","Hancock County","Iowa",10630
"831","Hardin County","Iowa",16846
"832","Harrison County","Iowa",14049
"833","Henry County","Iowa",19954
"834","Howard County","Iowa",9158
"835","Humboldt County","Iowa",9558
"836","Ida County","Iowa",6860
"837","Iowa County","Iowa",16184
"838","Jackson County","Iowa",19439
"839","Jasper County","Iowa",37185
"840","Jefferson County","Iowa",18295
"841","Johnson County","Iowa",151140
"842","Jones County","Iowa",20681
"843","Keokuk County","Iowa",10246
"844","Kossuth County","Iowa",14813
"845","Lee County","Iowa",33657
"846","Linn County","Iowa",226706
"847","Louisa County","Iowa",11035
"848","Lucas County","Iowa",8600
"849","Lyon County","Iowa",11755
"850","Madison County","Iowa",16338
"851","Mahaska County","Iowa",22095
"852","Marion County","Iowa",33253
"853","Marshall County","Iowa",39369
"854","Mills County","Iowa",15109
"855","Mitchell County","Iowa",10586
"856","Monona County","Iowa",8615
"857","Monroe County","Iowa",7707
"858","Montgomery County","Iowa",9917
"859","Muscatine County","Iowa",42664
"860","O'Brien County","Iowa",13753
"861","Osceola County","Iowa",5958
"862","Page County","Iowa",15107
"863","Palo Alto County","Iowa",8886
"864","Plymouth County","Iowa",25177
"865","Pocahontas County","Iowa",6619
"866","Polk County","Iowa",490161
"867","Pottawattamie County","Iowa",93206
"868","Poweshiek County","Iowa",18504
"869","Ringgold County","Iowa",4894
"870","Sac County","Iowa",9721
"871","Scott County","Iowa",172943
"872","Shelby County","Iowa",11454
"873","Sioux County","Iowa",34855
"874","Story County","Iowa",97117
"875","Tama County","Iowa",16854
"876","Taylor County","Iowa",6121
"877","Union County","Iowa",12241
"878","Van Buren County","Iowa",7044
"879","Wapello County","Iowa",34969
"880","Warren County","Iowa",51466
"881","Washington County","Iowa",21965
"882","Wayne County","Iowa",6441
"883","Webster County","Iowa",35904
"884","Winnebago County","Iowa",10354
"885","Winneshiek County","Iowa",19991
"886","Woodbury County","Iowa",103107
"887","Worth County","Iowa",7381
"888","Wright County","Iowa",12562
"889","Allen County","Kansas",12369
"890","Anderson County","Kansas",7858
"891","Atchison County","Kansas",16073
"892","Barber County","Kansas",4427
"893","Barton County","Kansas",25779
"894","Bourbon County","Kansas",14534
"895","Brown County","Kansas",9564
"896","Butler County","Kansas",66911
"897","Chase County","Kansas",2648
"898","Chautauqua County","Kansas",3250
"899","Cherokee County","Kansas",19939
"900","Cheyenne County","Kansas",2657
"901","Clark County","Kansas",1994
"902","Clay County","Kansas",8002
"903","Cloud County","Kansas",8786
"904","Coffey County","Kansas",8179
"905","Comanche County","Kansas",1700
"906","Cowley County","Kansas",34908
"907","Crawford County","Kansas",38818
"908","Decatur County","Kansas",2827
"909","Dickinson County","Kansas",18466
"910","Doniphan County","Kansas",7600
"911","Douglas County","Kansas",122259
"912","Edwards County","Kansas",2798
"913","Elk County","Kansas",2530
"914","Ellis County","Kansas",28553
"915","Ellsworth County","Kansas",6102
"916","Finney County","Kansas",36467
"917","Ford County","Kansas",33619
"918","Franklin County","Kansas",25544
"919","Geary County","Kansas",31670
"920","Gove County","Kansas",2636
"921","Graham County","Kansas",2482
"922","Grant County","Kansas",7150
"923","Gray County","Kansas",5988
"924","Greeley County","Kansas",1232
"925","Greenwood County","Kansas",5982
"926","Hamilton County","Kansas",2539
"927","Harper County","Kansas",5436
"928","Harvey County","Kansas",34429
"929","Haskell County","Kansas",3968
"930","Hodgeman County","Kansas",1794
"931","Jackson County","Kansas",13171
"932","Jefferson County","Kansas",19043
"933","Jewell County","Kansas",2879
"934","Johnson County","Kansas",602401
"935","Kearny County","Kansas",3838
"936","Kingman County","Kansas",7152
"937","Kiowa County","Kansas",2475
"938","Labette County","Kansas",19618
"939","Lane County","Kansas",1535
"940","Leavenworth County","Kansas",81758
"941","Lincoln County","Kansas",2962
"942","Linn County","Kansas",9703
"943","Logan County","Kansas",2794
"944","Lyon County","Kansas",33195
"945","McPherson County","Kansas",28542
"946","Marion County","Kansas",11884
"947","Marshall County","Kansas",9707
"948","Meade County","Kansas",4033
"949","Miami County","Kansas",34237
"950","Mitchell County","Kansas",5979
"951","Montgomery County","Kansas",31829
"952","Morris County","Kansas",5620
"953","Morton County","Kansas",2587
"954","Nemaha County","Kansas",10231
"955","Neosho County","Kansas",16007
"956","Ness County","Kansas",2750
"957","Norton County","Kansas",5361
"958","Osage County","Kansas",15949
"959","Osborne County","Kansas",3421
"960","Ottawa County","Kansas",5704
"961","Pawnee County","Kansas",6414
"962","Phillips County","Kansas",5234
"963","Pottawatomie County","Kansas",24383
"964","Pratt County","Kansas",9164
"965","Rawlins County","Kansas",2530
"966","Reno County","Kansas",61998
"967","Republic County","Kansas",4636
"968","Rice County","Kansas",9537
"969","Riley County","Kansas",74232
"970","Rooks County","Kansas",4920
"971","Rush County","Kansas",3036
"972","Russell County","Kansas",6856
"973","Saline County","Kansas",54224
"974","Scott County","Kansas",4823
"975","Sedgwick County","Kansas",516042
"976","Seward County","Kansas",21428
"977","Shawnee County","Kansas",176875
"978","Sheridan County","Kansas",2521
"979","Sherman County","Kansas",5917
"980","Smith County","Kansas",3583
"981","Stafford County","Kansas",4156
"982","Stanton County","Kansas",2006
"983","Stevens County","Kansas",5485
"984","Sumner County","Kansas",22836
"985","Thomas County","Kansas",7777
"986","Trego County","Kansas",2803
"987","Wabaunsee County","Kansas",6931
"988","Wallace County","Kansas",1518
"989","Washington County","Kansas",5406
"990","Wichita County","Kansas",2119
"991","Wilson County","Kansas",8525
"992","Woodson County","Kansas",3138
"993","Wyandotte County","Kansas",165429
"994","Adair County","Kentucky",19202
"995","Allen County","Kentucky",21315
"996","Anderson County","Kentucky",22747
"997","Ballard County","Kentucky",7888
"998","Barren County","Kentucky",44249
"999","Bath County","Kentucky",12500
"1000","Bell County","Kentucky",26032
"1001","Boone County","Kentucky",133581
"1002","Bourbon County","Kentucky",19788
"1003","Boyd County","Kentucky",46718
"1004","Boyle County","Kentucky",30060
"1005","Bracken County","Kentucky",8303
"1006","Breathitt County","Kentucky",12630
"1007","Breckinridge County","Kentucky",20477
"1008","Bullitt County","Kentucky",81676
"1009","Butler County","Kentucky",12879
"1010","Caldwell County","Kentucky",12747
"1011","Calloway County","Kentucky",39001
"1012","Campbell County","Kentucky",93584
"1013","Carlisle County","Kentucky",4760
"1014","Carroll County","Kentucky",10631
"1015","Carter County","Kentucky",26797
"1016","Casey County","Kentucky",16159
"1017","Christian County","Kentucky",70461
"1018","Clark County","Kentucky",36263
"1019","Clay County","Kentucky",19901
"1020","Clinton County","Kentucky",10218
"1021","Crittenden County","Kentucky",8806
"1022","Cumberland County","Kentucky",6614
"1023","Daviess County","Kentucky",101511
"1024","Edmonson County","Kentucky",12150
"1025","Elliott County","Kentucky",7517
"1026","Estill County","Kentucky",14106
"1027","Fayette County","Kentucky",323152
"1028","Fleming County","Kentucky",14581
"1029","Floyd County","Kentucky",35589
"1030","Franklin County","Kentucky",50991
"1031","Fulton County","Kentucky",5969
"1032","Gallatin County","Kentucky",8869
"1033","Garrard County","Kentucky",17666
"1034","Grant County","Kentucky",25069
"1035","Graves County","Kentucky",37266
"1036","Grayson County","Kentucky",26427
"1037","Green County","Kentucky",10941
"1038","Greenup County","Kentucky",35098
"1039","Hancock County","Kentucky",8722
"1040","Hardin County","Kentucky",110958
"1041","Harlan County","Kentucky",26010
"1042","Harrison County","Kentucky",18886
"1043","Hart County","Kentucky",19035
"1044","Henderson County","Kentucky",45210
"1045","Henry County","Kentucky",16126
"1046","Hickman County","Kentucky",4380
"1047","Hopkins County","Kentucky",44686
"1048","Jackson County","Kentucky",13329
"1049","Jefferson County","Kentucky",766757
"1050","Jessamine County","Kentucky",54115
"1051","Johnson County","Kentucky",22188
"1052","Kenton County","Kentucky",166998
"1053","Knott County","Kentucky",14806
"1054","Knox County","Kentucky",31145
"1055","Larue County","Kentucky",14398
"1056","Laurel County","Kentucky",60813
"1057","Lawrence County","Kentucky",15317
"1058","Lee County","Kentucky",7403
"1059","Leslie County","Kentucky",9877
"1060","Letcher County","Kentucky",21553
"1061","Lewis County","Kentucky",13275
"1062","Lincoln County","Kentucky",24549
"1063","Livingston County","Kentucky",9194
"1064","Logan County","Kentucky",27102
"1065","Lyon County","Kentucky",8210
"1066","McCracken County","Kentucky",65418
"1067","McCreary County","Kentucky",17231
"1068","McLean County","Kentucky",9207
"1069","Madison County","Kentucky",92987
"1070","Magoffin County","Kentucky",12161
"1071","Marion County","Kentucky",19273
"1072","Marshall County","Kentucky",31100
"1073","Martin County","Kentucky",11195
"1074","Mason County","Kentucky",17070
"1075","Meade County","Kentucky",28572
"1076","Menifee County","Kentucky",6489
"1077","Mercer County","Kentucky",21933
"1078","Metcalfe County","Kentucky",10071
"1079","Monroe County","Kentucky",10650
"1080","Montgomery County","Kentucky",28157
"1081","Morgan County","Kentucky",13309
"1082","Muhlenberg County","Kentucky",30622
"1083","Nelson County","Kentucky",46233
"1084","Nicholas County","Kentucky",7269
"1085","Ohio County","Kentucky",23994
"1086","Oldham County","Kentucky",66799
"1087","Owen County","Kentucky",10901
"1088","Owsley County","Kentucky",4415
"1089","Pendleton County","Kentucky",14590
"1090","Perry County","Kentucky",25758
"1091","Pike County","Kentucky",57876
"1092","Powell County","Kentucky",12359
"1093","Pulaski County","Kentucky",64979
"1094","Robertson County","Kentucky",2108
"1095","Rockcastle County","Kentucky",16695
"1096","Rowan County","Kentucky",24460
"1097","Russell County","Kentucky",17923
"1098","Scott County","Kentucky",57004
"1099","Shelby County","Kentucky",49024
"1100","Simpson County","Kentucky",18572
"1101","Spencer County","Kentucky",19351
"1102","Taylor County","Kentucky",25769
"1103","Todd County","Kentucky",12294
"1104","Trigg County","Kentucky",14651
"1105","Trimble County","Kentucky",8471
"1106","Union County","Kentucky",14381
"1107","Warren County","Kentucky",132896
"1108","Washington County","Kentucky",12095
"1109","Wayne County","Kentucky",20333
"1110","Webster County","Kentucky",12942
"1111","Whitley County","Kentucky",36264
"1112","Wolfe County","Kentucky",7157
"1113","Woodford County","Kentucky",26734
"1114","Acadia Parish","Louisiana",62045
"1115","Allen Parish","Louisiana",25627
"1116","Ascension Parish","Louisiana",126604
"1117","Assumption Parish","Louisiana",21891
"1118","Avoyelles Parish","Louisiana",40144
"1119","Beauregard Parish","Louisiana",37497
"1120","Bienville Parish","Louisiana",13241
"1121","Bossier Parish","Louisiana",127039
"1122","Caddo Parish","Louisiana",240204
"1123","Calcasieu Parish","Louisiana",203436
"1124","Caldwell Parish","Louisiana",9918
"1125","Cameron Parish","Louisiana",6973
"1126","Catahoula Parish","Louisiana",9494
"1127","Claiborne Parish","Louisiana",15670
"1128","Concordia Parish","Louisiana",19259
"1129","De Soto Parish","Louisiana",27463
"1130","East Baton Rouge Parish","Louisiana",440059
"1131","East Carroll Parish","Louisiana",6861
"1132","East Feliciana Parish","Louisiana",19135
"1133","Evangeline Parish","Louisiana",33395
"1134","Franklin Parish","Louisiana",20015
"1135","Grant Parish","Louisiana",22389
"1136","Iberia Parish","Louisiana",69830
"1137","Iberville Parish","Louisiana",32511
"1138","Jackson Parish","Louisiana",15744
"1139","Jefferson Parish","Louisiana",432493
"1140","Jefferson Davis Parish","Louisiana",31368
"1141","Lafayette Parish","Louisiana",244390
"1142","Lafourche Parish","Louisiana",97614
"1143","LaSalle Parish","Louisiana",14892
"1144","Lincoln Parish","Louisiana",46742
"1145","Livingston Parish","Louisiana",140789
"1146","Madison Parish","Louisiana",10951
"1147","Morehouse Parish","Louisiana",24874
"1148","Natchitoches Parish","Louisiana",38158
"1149","Orleans Parish","Louisiana",390144
"1150","Ouachita Parish","Louisiana",153279
"1151","Plaquemines Parish","Louisiana",23197
"1152","Pointe Coupee Parish","Louisiana",21730
"1153","Rapides Parish","Louisiana",129648
"1154","Red River Parish","Louisiana",8442
"1155","Richland Parish","Louisiana",20122
"1156","Sabine Parish","Louisiana",23884
"1157","St. Bernard Parish","Louisiana",47244
"1158","St. Charles Parish","Louisiana",53100
"1159","St. Helena Parish","Louisiana",10132
"1160","St. James Parish","Louisiana",21096
"1161","St. John the Baptist Parish","Louisiana",42837
"1162","St. Landry Parish","Louisiana",82124
"1163","St. Martin Parish","Louisiana",53431
"1164","St. Mary Parish","Louisiana",49348
"1165","St. Tammany Parish","Louisiana",260419
"1166","Tangipahoa Parish","Louisiana",134758
"1167","Tensas Parish","Louisiana",4334
"1168","Terrebonne Parish","Louisiana",110461
"1169","Union Parish","Louisiana",22108
"1170","Vermilion Parish","Louisiana",59511
"1171","Vernon Parish","Louisiana",47429
"1172","Washington Parish","Louisiana",46194
"1173","Webster Parish","Louisiana",38340
"1174","West Baton Rouge Parish","Louisiana",26465
"1175","West Carroll Parish","Louisiana",10830
"1176","West Feliciana Parish","Louisiana",15568
"1177","Winn Parish","Louisiana",13904
"1178","Androscoggin County","Maine",108277
"1179","Aroostook County","Maine",67055
"1180","Cumberland County","Maine",295003
"1181","Franklin County","Maine",30199
"1182","Hancock County","Maine",54987
"1183","Kennebec County","Maine",122302
"1184","Knox County","Maine",39772
"1185","Lincoln County","Maine",34634
"1186","Oxford County","Maine",57975
"1187","Penobscot County","Maine",152148
"1188","Piscataquis County","Maine",16785
"1189","Sagadahoc County","Maine",35856
"1190","Somerset County","Maine",50484
"1191","Waldo County","Maine",39715
"1192","Washington County","Maine",31379
"1193","York County","Maine",207641
"1194","Allegany County","Maryland",70416
"1195","Anne Arundel County","Maryland",579234
"1196","Baltimore County","Maryland",827370
"1197","Calvert County","Maryland",92525
"1198","Caroline County","Maryland",33406
"1199","Carroll County","Maryland",168447
"1200","Cecil County","Maryland",102855
"1201","Charles County","Maryland",163257
"1202","Dorchester County","Maryland",31929
"1203","Frederick County","Maryland",259547
"1204","Garrett County","Maryland",29014
"1205","Harford County","Maryland",255441
"1206","Howard County","Maryland",325690
"1207","Kent County","Maryland",19422
"1208","Montgomery County","Maryland",1050688
"1209","Prince George's County","Maryland",909327
"1210","Queen Anne's County","Maryland",50381
"1211","St. Mary's County","Maryland",113510
"1212","Somerset County","Maryland",25616
"1213","Talbot County","Maryland",37181
"1214","Washington County","Maryland",151049
"1215","Wicomico County","Maryland",103609
"1216","Worcester County","Maryland",52276
"1217","Baltimore city","Maryland",593490
"1218","Barnstable County","Massachusetts",212990
"1219","Berkshire County","Massachusetts",124944
"1220","Bristol County","Massachusetts",565217
"1221","Dukes County","Massachusetts",17332
"1222","Essex County","Massachusetts",789034
"1223","Franklin County","Massachusetts",70180
"1224","Hampden County","Massachusetts",466372
"1225","Hampshire County","Massachusetts",160830
"1226","Middlesex County","Massachusetts",1611699
"1227","Nantucket County","Massachusetts",11399
"1228","Norfolk County","Massachusetts",706775
"1229","Plymouth County","Massachusetts",521202
"1230","Suffolk County","Massachusetts",803907
"1231","Worcester County","Massachusetts",830622
"1232","Alcona County","Michigan",10405
"1233","Alger County","Michigan",9108
"1234","Allegan County","Michigan",118081
"1235","Alpena County","Michigan",28405
"1236","Antrim County","Michigan",23324
"1237","Arenac County","Michigan",14883
"1238","Baraga County","Michigan",8209
"1239","Barry County","Michigan",61550
"1240","Bay County","Michigan",103126
"1241","Benzie County","Michigan",17766
"1242","Berrien County","Michigan",153401
"1243","Branch County","Michigan",43517
"1244","Calhoun County","Michigan",134159
"1245","Cass County","Michigan",51787
"1246","Charlevoix County","Michigan",26143
"1247","Cheboygan County","Michigan",25276
"1248","Chippewa County","Michigan",37349
"1249","Clare County","Michigan",30950
"1250","Clinton County","Michigan",79595
"1251","Crawford County","Michigan",14029
"1252","Delta County","Michigan",35784
"1253","Dickinson County","Michigan",25239
"1254","Eaton County","Michigan",110268
"1255","Emmet County","Michigan",33415
"1256","Genesee County","Michigan",405813
"1257","Gladwin County","Michigan",25449
"1258","Gogebic County","Michigan",13975
"1259","Grand Traverse County","Michigan",93088
"1260","Gratiot County","Michigan",40711
"1261","Hillsdale County","Michigan",45605
"1262","Houghton County","Michigan",35684
"1263","Huron County","Michigan",30981
"1264","Ingham County","Michigan",292406
"1265","Ionia County","Michigan",64697
"1266","Iosco County","Michigan",25127
"1267","Iron County","Michigan",11066
"1268","Isabella County","Michigan",69872
"1269","Jackson County","Michigan",158510
"1270","Kalamazoo County","Michigan",265066
"1271","Kalkaska County","Michigan",18038
"1272","Kent County","Michigan",656955
"1273","Keweenaw County","Michigan",2116
"1274","Lake County","Michigan",11853
"1275","Lapeer County","Michigan",87607
"1276","Leelanau County","Michigan",21761
"1277","Lenawee County","Michigan",98451
"1278","Livingston County","Michigan",191995
"1279","Luce County","Michigan",6229
"1280","Mackinac County","Michigan",10799
"1281","Macomb County","Michigan",873972
"1282","Manistee County","Michigan",24558
"1283","Marquette County","Michigan",66699
"1284","Mason County","Michigan",29144
"1285","Mecosta County","Michigan",43453
"1286","Menominee County","Michigan",22780
"1287","Midland County","Michigan",83156
"1288","Missaukee County","Michigan",15118
"1289","Monroe County","Michigan",150500
"1290","Montcalm County","Michigan",63888
"1291","Montmorency County","Michigan",9328
"1292","Muskegon County","Michigan",173566
"1293","Newaygo County","Michigan",48980
"1294","Oakland County","Michigan",1257584
"1295","Oceana County","Michigan",26467
"1296","Ogemaw County","Michigan",20997
"1297","Ontonagon County","Michigan",5720
"1298","Osceola County","Michigan",23460
"1299","Oscoda County","Michigan",8241
"1300","Otsego County","Michigan",24668
"1301","Ottawa County","Michigan",291830
"1302","Presque Isle County","Michigan",12592
"1303","Roscommon County","Michigan",24019
"1304","Saginaw County","Michigan",190539
"1305","St. Clair County","Michigan",159128
"1306","St. Joseph County","Michigan",60964
"1307","Sanilac County","Michigan",41170
"1308","Schoolcraft County","Michigan",8094
"1309","Shiawassee County","Michigan",68122
"1310","Tuscola County","Michigan",52245
"1311","Van Buren County","Michigan",75677
"1312","Washtenaw County","Michigan",367601
"1313","Wayne County","Michigan",1749343
"1314","Wexford County","Michigan",33631
"1315","Aitkin County","Minnesota",15886
"1316","Anoka County","Minnesota",356921
"1317","Becker County","Minnesota",34423
"1318","Beltrami County","Minnesota",47188
"1319","Benton County","Minnesota",40889
"1320","Big Stone County","Minnesota",4991
"1321","Blue Earth County","Minnesota",67653
"1322","Brown County","Minnesota",25008
"1323","Carlton County","Minnesota",35871
"1324","Carver County","Minnesota",105089
"1325","Cass County","Minnesota",29779
"1326","Chippewa County","Minnesota",11800
"1327","Chisago County","Minnesota",56579
"1328","Clay County","Minnesota",64222
"1329","Clearwater County","Minnesota",8818
"1330","Cook County","Minnesota",5463
"1331","Cottonwood County","Minnesota",11196
"1332","Crow Wing County","Minnesota",65055
"1333","Dakota County","Minnesota",429021
"1334","Dodge County","Minnesota",20934
"1335","Douglas County","Minnesota",38141
"1336","Faribault County","Minnesota",13653
"1337","Fillmore County","Minnesota",21067
"1338","Freeborn County","Minnesota",30281
"1339","Goodhue County","Minnesota",46340
"1340","Grant County","Minnesota",5972
"1341","Hennepin County","Minnesota",1265843
"1342","Houston County","Minnesota",18600
"1343","Hubbard County","Minnesota",21491
"1344","Isanti County","Minnesota",40596
"1345","Itasca County","Minnesota",45130
"1346","Jackson County","Minnesota",9846
"1347","Kanabec County","Minnesota",16337
"1348","Kandiyohi County","Minnesota",43199
"1349","Kittson County","Minnesota",4298
"1350","Koochiching County","Minnesota",12229
"1351","Lac qui Parle County","Minnesota",6623
"1352","Lake County","Minnesota",10641
"1353","Lake of the Woods County","Minnesota",3740
"1354","Le Sueur County","Minnesota",28887
"1355","Lincoln County","Minnesota",5639
"1356","Lyon County","Minnesota",25474
"1357","McLeod County","Minnesota",35893
"1358","Mahnomen County","Minnesota",5527
"1359","Marshall County","Minnesota",9336
"1360","Martin County","Minnesota",19683
"1361","Meeker County","Minnesota",23222
"1362","Mille Lacs County","Minnesota",26277
"1363","Morrison County","Minnesota",33386
"1364","Mower County","Minnesota",40062
"1365","Murray County","Minnesota",8194
"1366","Nicollet County","Minnesota",34274
"1367","Nobles County","Minnesota",21629
"1368","Norman County","Minnesota",6375
"1369","Olmsted County","Minnesota",158293
"1370","Otter Tail County","Minnesota",58746
"1371","Pennington County","Minnesota",14119
"1372","Pine County","Minnesota",29579
"1373","Pipestone County","Minnesota",9126
"1374","Polk County","Minnesota",31364
"1375","Pope County","Minnesota",11249
"1376","Ramsey County","Minnesota",550321
"1377","Red Lake County","Minnesota",4055
"1378","Redwood County","Minnesota",15170
"1379","Renville County","Minnesota",14548
"1380","Rice County","Minnesota",66972
"1381","Rock County","Minnesota",9315
"1382","Roseau County","Minnesota",15165
"1383","St. Louis County","Minnesota",199070
"1384","Scott County","Minnesota",149013
"1385","Sherburne County","Minnesota",97238
"1386","Sibley County","Minnesota",14865
"1387","Stearns County","Minnesota",161075
"1388","Steele County","Minnesota",36649
"1389","Stevens County","Minnesota",9805
"1390","Swift County","Minnesota",9266
"1391","Todd County","Minnesota",24664
"1392","Traverse County","Minnesota",3259
"1393","Wabasha County","Minnesota",21627
"1394","Wadena County","Minnesota",13682
"1395","Waseca County","Minnesota",18612
"1396","Washington County","Minnesota",262440
"1397","Watonwan County","Minnesota",10897
"1398","Wilkin County","Minnesota",6207
"1399","Winona County","Minnesota",50484
"1400","Wright County","Minnesota",138377
"1401","Yellow Medicine County","Minnesota",9709
"1402","Adams County","Mississippi",30693
"1403","Alcorn County","Mississippi",36953
"1404","Amite County","Mississippi",12297
"1405","Attala County","Mississippi",18174
"1406","Benton County","Mississippi",8259
"1407","Bolivar County","Mississippi",30628
"1408","Calhoun County","Mississippi",14361
"1409","Carroll County","Mississippi",9947
"1410","Chickasaw County","Mississippi",17103
"1411","Choctaw County","Mississippi",8210
"1412","Claiborne County","Mississippi",8988
"1413","Clarke County","Mississippi",15541
"1414","Clay County","Mississippi",19316
"1415","Coahoma County","Mississippi",22124
"1416","Copiah County","Mississippi",28065
"1417","Covington County","Mississippi",18636
"1418","DeSoto County","Mississippi",184945
"1419","Forrest County","Mississippi",74897
"1420","Franklin County","Mississippi",7713
"1421","George County","Mississippi",24500
"1422","Greene County","Mississippi",13586
"1423","Grenada County","Mississippi",20758
"1424","Hancock County","Mississippi",47632
"1425","Harrison County","Mississippi",208080
"1426","Hinds County","Mississippi",231840
"1427","Holmes County","Mississippi",17010
"1428","Humphreys County","Mississippi",8064
"1429","Issaquena County","Mississippi",1327
"1430","Itawamba County","Mississippi",23390
"1431","Jackson County","Mississippi",143617
"1432","Jasper County","Mississippi",16383
"1433","Jefferson County","Mississippi",6990
"1434","Jefferson Davis County","Mississippi",11128
"1435","Jones County","Mississippi",68098
"1436","Kemper County","Mississippi",9742
"1437","Lafayette County","Mississippi",54019
"1438","Lamar County","Mississippi",63343
"1439","Lauderdale County","Mississippi",74125
"1440","Lawrence County","Mississippi",12586
"1441","Leake County","Mississippi",22786
"1442","Lee County","Mississippi",85436
"1443","Leflore County","Mississippi",28183
"1444","Lincoln County","Mississippi",34153
"1445","Lowndes County","Mississippi",58595
"1446","Madison County","Mississippi",106272
"1447","Marion County","Mississippi",24573
"1448","Marshall County","Mississippi",35294
"1449","Monroe County","Mississippi",35252
"1450","Montgomery County","Mississippi",9775
"1451","Neshoba County","Mississippi",29118
"1452","Newton County","Mississippi",21018
"1453","Noxubee County","Mississippi",10417
"1454","Oktibbeha County","Mississippi",49587
"1455","Panola County","Mississippi",34192
"1456","Pearl River County","Mississippi",55535
"1457","Perry County","Mississippi",11973
"1458","Pike County","Mississippi",39288
"1459","Pontotoc County","Mississippi",32174
"1460","Prentiss County","Mississippi",25126
"1461","Quitman County","Mississippi",6792
"1462","Rankin County","Mississippi",155271
"1463","Scott County","Mississippi",28124
"1464","Sharkey County","Mississippi",4321
"1465","Simpson County","Mississippi",26658
"1466","Smith County","Mississippi",15916
"1467","Stone County","Mississippi",18336
"1468","Sunflower County","Mississippi",25110
"1469","Tallahatchie County","Mississippi",13809
"1470","Tate County","Mississippi",28321
"1471","Tippah County","Mississippi",22015
"1472","Tishomingo County","Mississippi",19383
"1473","Tunica County","Mississippi",9632
"1474","Union County","Mississippi",28815
"1475","Walthall County","Mississippi",14286
"1476","Warren County","Mississippi",45381
"1477","Washington County","Mississippi",43909
"1478","Wayne County","Mississippi",20183
"1479","Webster County","Mississippi",9689
"1480","Wilkinson County","Mississippi",8630
"1481","Winston County","Mississippi",17955
"1482","Yalobusha County","Mississippi",12108
"1483","Yazoo County","Mississippi",29690
"1484","Adair County","Missouri",25343
"1485","Andrew County","Missouri",17712
"1486","Atchison County","Missouri",5143
"1487","Audrain County","Missouri",25388
"1488","Barry County","Missouri",35789
"1489","Barton County","Missouri",11754
"1490","Bates County","Missouri",16172
"1491","Benton County","Missouri",19443
"1492","Bollinger County","Missouri",12133
"1493","Boone County","Missouri",180463
"1494","Buchanan County","Missouri",87364
"1495","Butler County","Missouri",42478
"1496","Caldwell County","Missouri",9020
"1497","Callaway County","Missouri",44743
"1498","Camden County","Missouri",46305
"1499","Cape Girardeau County","Missouri",78871
"1500","Carroll County","Missouri",8679
"1501","Carter County","Missouri",5982
"1502","Cass County","Missouri",105780
"1503","Cedar County","Missouri",14349
"1504","Chariton County","Missouri",7426
"1505","Christian County","Missouri",88595
"1506","Clark County","Missouri",6797
"1507","Clay County","Missouri",249948
"1508","Clinton County","Missouri",20387
"1509","Cole County","Missouri",76745
"1510","Cooper County","Missouri",17709
"1511","Crawford County","Missouri",23920
"1512","Dade County","Missouri",7561
"1513","Dallas County","Missouri",16878
"1514","Daviess County","Missouri",8278
"1515","DeKalb County","Missouri",12547
"1516","Dent County","Missouri",15573
"1517","Douglas County","Missouri",13185
"1518","Dunklin County","Missouri",29131
"1519","Franklin County","Missouri",103967
"1520","Gasconade County","Missouri",14706
"1521","Gentry County","Missouri",6571
"1522","Greene County","Missouri",293086
"1523","Grundy County","Missouri",9850
"1524","Harrison County","Missouri",8352
"1525","Henry County","Missouri",21824
"1526","Hickory County","Missouri",9544
"1527","Holt County","Missouri",4403
"1528","Howard County","Missouri",10001
"1529","Howell County","Missouri",40117
"1530","Iron County","Missouri",10125
"1531","Jackson County","Missouri",703011
"1532","Jasper County","Missouri",121328
"1533","Jefferson County","Missouri",225081
"1534","Johnson County","Missouri",54062
"1535","Knox County","Missouri",3959
"1536","Laclede County","Missouri",35723
"1537","Lafayette County","Missouri",32708
"1538","Lawrence County","Missouri",38355
"1539","Lewis County","Missouri",9776
"1540","Lincoln County","Missouri",59013
"1541","Linn County","Missouri",11920
"1542","Livingston County","Missouri",15227
"1543","McDonald County","Missouri",22837
"1544","Macon County","Missouri",15117
"1545","Madison County","Missouri",12088
"1546","Maries County","Missouri",8697
"1547","Marion County","Missouri",28530
"1548","Mercer County","Missouri",3617
"1549","Miller County","Missouri",25619
"1550","Mississippi County","Missouri",13180
"1551","Moniteau County","Missouri",16132
"1552","Monroe County","Missouri",8644
"1553","Montgomery County","Missouri",11551
"1554","Morgan County","Missouri",20627
"1555","New Madrid County","Missouri",17076
"1556","Newton County","Missouri",58236
"1557","Nodaway County","Missouri",22092
"1558","Oregon County","Missouri",10529
"1559","Osage County","Missouri",13615
"1560","Ozark County","Missouri",9174
"1561","Pemiscot County","Missouri",15805
"1562","Perry County","Missouri",19136
"1563","Pettis County","Missouri",42339
"1564","Phelps County","Missouri",44573
"1565","Pike County","Missouri",18302
"1566","Platte County","Missouri",104418
"1567","Polk County","Missouri",32149
"1568","Pulaski County","Missouri",52607
"1569","Putnam County","Missouri",4696
"1570","Ralls County","Missouri",10309
